# Number of profiles,,,,,
1,,,,,
# ProfileID,Characterization Frequency,Frequency Scale,EPI Scale,Characterization Name,Characterization Description
50,1.00E+06,1.00E-12,Tiwari in ASIC 45nm,Tiwari Method for FreePDK45nm
# Stall consumption,,,,,
16.2,,,,,
1,lb,50.48,,,
2,lbu,42.44,,,
3,lh,48.9,,,
4,lhu,44.85,,,
5,lw,41.63,,,
6,lwl,41.63,,,
7,lwr,41.63,,,
8,sb,47.83,,,
9,sh,47.52,,,
10,sw,35.53,,,
11,swl,35.53,,,
12,swr,35.53,,,
13,addi,58.27,,,
14,addiu,58.63,,,
15,slti,41,,,
16,sltiu,40.78,,,
17,andi,37.63,,,
18,ori,48.16,,,
19,xori,53.01,,,
20,lui,41.63,,,
21,add,62.72,,,
22,addu,61.98,,,
23,sub,62.72,,,
24,subu,61.84,,,
25,slt,35.62,,,
26,sltu,35.51,,,
27,instr_and,35.63,,,
28,instr_or,55.31,,,
29,instr_xor,60.88,,,
30,instr_nor,53.77,,,
31,nop,32.97,,,
32,sll,35.53,,,
33,srl,35.53,,,
34,sra,53.47,,,
35,sllv,33.76,,,
36,srlv,36.99,,,
37,srav,60.11,,,
38,mult,55.11,,,
39,multu,53.54,,,
40,div,51.8,,,
41,divu,54.91,,,
42,mfhi,33.76,,,
43,mthi,33.77,,,
44,mflo,42.42,,,
45,mtlo,41.8,,,
46,j,53.54,,,
47,jal,58.98,,,
48,jr,44.25,,,
49,jalr,48.2,,,
50,beq,52.21,,,
51,bne,52.21,,,
52,blez,52.21,,,
53,bgtz,52.21,,,
54,bltz,52.21,,,
55,bgez,52.21,,,
56,bltzal,52.21,,,
57,bgezal,52.21,,,
58,sys_call,0,,,
59,instr_break,0,,,
