# Number of profiles,,,,,
1,,,,,
# ProfileID,Characterization Frequency,Frequency Scale,EPI Scale,Characterization Name,Characterization Description
250,1.00E+06,1.00E-12,Tiwari in ASIC 45nm,Tiwari Method for FreePDK45nm
# Stall consumption,,,,,
14.5,,,,,
1,lb,45.4,,,
2,lbu,41.58,,,
3,lh,45.76,,,
4,lhu,43.55,,,
5,lw,41.21,,,
6,lwl,41.21,,,
7,lwr,41.21,,,
8,sb,41.19,,,
9,sh,40.98,,,
10,sw,34.77,,,
11,swl,34.77,,,
12,swr,34.77,,,
13,addi,47.46,,,
14,addiu,47.71,,,
15,slti,40.06,,,
16,sltiu,39.83,,,
17,andi,36.68,,,
18,ori,51.64,,,
19,xori,47.18,,,
20,lui,41.21,,,
21,add,38.69,,,
22,addu,38.66,,,
23,sub,41.89,,,
24,subu,41.9,,,
25,slt,34.78,,,
26,sltu,34.76,,,
27,instr_and,34.71,,,
28,instr_or,43.68,,,
29,instr_xor,38.93,,,
30,instr_nor,45.45,,,
31,nop,32.38,,,
32,sll,34.77,,,
33,srl,34.84,,,
34,sra,49.58,,,
35,sllv,33.16,,,
36,srlv,38.56,,,
37,srav,36.78,,,
38,mult,42.69,,,
39,multu,41.98,,,
40,div,47.64,,,
41,divu,44.59,,,
42,mfhi,33.16,,,
43,mthi,33.16,,,
44,mflo,37.08,,,
45,mtlo,36.79,,,
46,j,39.58,,,
47,jal,43.17,,,
48,jr,37.9,,,
49,jalr,36.71,,,
50,beq,44.88,,,
51,bne,44.88,,,
52,blez,44.88,,,
53,bgtz,44.88,,,
54,bltz,44.88,,,
55,bgez,44.88,,,
56,bltzal,44.88,,,
57,bgezal,44.88,,,
58,sys_call,0,,,
59,instr_break,0,,,
